source_file,condition,generation,well,well_index,n,initial,maximum,final,linear_slope_per_hour,peak_gain,post_peak_loss
FR_inc.xlsx,FR,gen0,A1,1,103,0.469,0.479,0.17,-0.01545514650968679,0.010000000000000009,0.30899999999999994
FR_inc.xlsx,FR,gen0,A10,10,103,0.5,0.5,0.145,-0.014155010323771046,0.0,0.355
FR_inc.xlsx,FR,gen0,A11,11,103,0.564,0.57,0.17,-0.009000065896410846,0.006000000000000005,0.3999999999999999
FR_inc.xlsx,FR,gen0,A12,12,103,0.439,0.439,0.153,-0.008692593243421361,0.0,0.28600000000000003
FR_inc.xlsx,FR,gen0,A2,2,103,0.436,0.47,0.165,-0.013969511927250374,0.033999999999999975,0.30499999999999994
FR_inc.xlsx,FR,gen0,A3,3,103,0.362,0.366,0.155,-0.009866603698985205,0.0040000000000000036,0.211
FR_inc.xlsx,FR,gen0,A4,4,103,0.683,0.683,0.187,-0.020792426305847232,0.0,0.49600000000000005
FR_inc.xlsx,FR,gen0,A5,5,103,0.38,0.408,0.172,-0.01061808636822916,0.02799999999999997,0.236
FR_inc.xlsx,FR,gen0,A6,6,103,0.431,0.481,0.188,-0.014774173000043944,0.04999999999999999,0.293
FR_inc.xlsx,FR,gen0,A7,7,103,0.479,0.479,0.145,-0.01482893291745377,0.0,0.33399999999999996
FR_inc.xlsx,FR,gen0,A8,8,103,0.402,0.433,0.165,-0.01300399771559111,0.030999999999999972,0.268
FR_inc.xlsx,FR,gen0,A9,9,103,0.413,0.416,0.171,-0.012276435443482862,0.0030000000000000027,0.24499999999999997
FR_inc.xlsx,FR,gen0,B1,13,103,0.641,0.641,0.176,-0.017904845582743942,0.0,0.465
FR_inc.xlsx,FR,gen0,B10,22,103,0.633,0.633,0.192,-0.017967908447919886,0.0,0.441
FR_inc.xlsx,FR,gen0,B11,23,103,0.591,0.591,0.148,-0.02006776347581604,0.0,0.44299999999999995
FR_inc.xlsx,FR,gen0,B12,24,103,0.465,0.466,0.159,-0.013843254404076794,0.0010000000000000009,0.30700000000000005
FR_inc.xlsx,FR,gen0,B2,14,103,0.388,0.451,0.147,-0.012472872644203326,0.063,0.30400000000000005
FR_inc.xlsx,FR,gen0,B3,15,103,0.5,0.553,0.147,-0.018965909590124348,0.05300000000000005,0.406
FR_inc.xlsx,FR,gen0,B4,16,103,0.383,0.425,0.164,-0.01339054606159118,0.04199999999999998,0.261
FR_inc.xlsx,FR,gen0,B5,17,103,0.537,0.551,0.156,-0.01803077362386331,0.014000000000000012,0.395
FR_inc.xlsx,FR,gen0,B6,18,103,0.523,0.532,0.148,-0.018579756622589316,0.009000000000000008,0.384
FR_inc.xlsx,FR,gen0,B7,19,103,0.5,0.5,0.121,-0.016827307472653,0.0,0.379
FR_inc.xlsx,FR,gen0,B8,20,103,0.588,0.588,0.168,-0.01594462504942233,0.0,0.41999999999999993
FR_inc.xlsx,FR,gen0,B9,21,103,0.463,0.469,0.124,-0.014988731713746003,0.00599999999999995,0.345
FR_inc.xlsx,FR,gen0,C1,25,103,0.442,0.456,0.179,-0.010508500636998654,0.014000000000000012,0.277
FR_inc.xlsx,FR,gen0,C10,34,103,0.608,0.619,0.161,-0.018038549400342677,0.01100000000000001,0.45799999999999996
FR_inc.xlsx,FR,gen0,C11,35,103,0.459,0.459,0.125,-0.016721807318894718,0.0,0.334
FR_inc.xlsx,FR,gen0,C12,36,103,0.579,0.579,0.158,-0.02015013398936873,0.0,0.42099999999999993
FR_inc.xlsx,FR,gen0,C2,26,103,0.348,0.367,0.162,-0.009637218292843655,0.019000000000000017,0.205
