sample_id,volatile,initial_mass,core_mass,mantle_mass,atmosphere_mass,lost_mass,erreur_fermeture_relative,unite,note_unite,initial_mass_origine,scenario_noyau,incertitude_noyau,records_origine,sources,references,bulk_mass_publie
Terre|C-TER-NOY-BAS,C,2.628e+22,1.932e+21,5.66e+20,,,0.905,kg de l element,,"estimation de masse totale publiee, independante de la somme des compartiments",scenario_concurrent,borne superieure la plus probable selon la parametrisation experimentale,C-TER-NOY-BAS;C-TER-BSE,S22;S23,The Metal-Silicate Partitioning of Carbon During Earth Accretion - reprend Hirschmann 2018 pour la terre silicatee | Core-mantle partitioning and the bulk Earth abundances of hydrogen and carbon,2.628e+22
Terre|C-TER-NOY-MAX,C,2.628e+22,2.647e+22,5.66e+20,,,0.029,kg de l element,,"estimation de masse totale publiee, independante de la somme des compartiments",scenario_concurrent,borne haute du modele d accretion multi-etapes,C-TER-NOY-MAX;C-TER-BSE,S22;S23,The Metal-Silicate Partitioning of Carbon During Earth Accretion - reprend Hirschmann 2018 pour la terre silicatee | Core-mantle partitioning and the bulk Earth abundances of hydrogen and carbon,2.628e+22
Terre|C-TER-NOY-MIN,C,2.628e+22,3.671e+21,5.66e+20,,,0.839,kg de l element,,"estimation de masse totale publiee, independante de la somme des compartiments",scenario_concurrent,borne basse du modele d accretion multi-etapes,C-TER-NOY-MIN;C-TER-BSE,S22;S23,The Metal-Silicate Partitioning of Carbon During Earth Accretion - reprend Hirschmann 2018 pour la terre silicatee | Core-mantle partitioning and the bulk Earth abundances of hydrogen and carbon,2.628e+22
Terre|H-TER-NOY-MAX,H,9.357e+21,9.467e+21,,1.567e+20,,0.029,kg de l element,"masses d eau publiees converties en masse d hydrogene par 2,016/18,015","estimation de masse totale publiee, independante de la somme des compartiments",scenario_concurrent,borne haute du modele d accretion multi-etapes,H-TER-NOY-MAX;H-TER-OCE,S21;S23,NASA Planetary Fact Sheet - masses planetaires et masse des oceans | Core-mantle partitioning and the bulk Earth abundances of hydrogen and carbon,9.357e+21
Terre|H-TER-NOY-MIN,H,9.357e+21,3.478e+21,,1.567e+20,,0.612,kg de l element,"masses d eau publiees converties en masse d hydrogene par 2,016/18,015","estimation de masse totale publiee, independante de la somme des compartiments",scenario_concurrent,borne basse du modele d accretion multi-etapes,H-TER-NOY-MIN;H-TER-OCE,S21;S23,NASA Planetary Fact Sheet - masses planetaires et masse des oceans | Core-mantle partitioning and the bulk Earth abundances of hydrogen and carbon,9.357e+21
Terre|N-TER-NOY-CC,N,,1.8e+20,2.7e+19,4e+18,,,kg de l element,,aucune estimation de masse totale publiee,scenario_concurrent,+/-110e18 voie chondritique CC,N-TER-NOY-CC;N-TER-BSE;N-TER-MAN;N-TER-ATM,S19;S20,Johnson and Goldblatt. The Nitrogen Budget of Earth. Earth-Science Reviews 148 | Zhang et Yin 2012 cite dans Johnson et Goldblatt. Azote du noyau par dynamique moleculaire ab initio,
Terre|N-TER-NOY-EC,N,,3e+20,2.7e+19,4e+18,,,kg de l element,,aucune estimation de masse totale publiee,scenario_concurrent,+/-180e18 voie chondritique EC,N-TER-NOY-EC;N-TER-BSE;N-TER-MAN;N-TER-ATM,S19;S20,Johnson and Goldblatt. The Nitrogen Budget of Earth. Earth-Science Reviews 148 | Zhang et Yin 2012 cite dans Johnson et Goldblatt. Azote du noyau par dynamique moleculaire ab initio,
Terre|N-TER-NOY-ZY,N,,1.8e+18,2.7e+19,4e+18,,,kg de l element,,aucune estimation de masse totale publiee,scenario_concurrent,+/-0.2e18 soit 0.001 wt% par calcul ab initio,N-TER-NOY-ZY;N-TER-BSE;N-TER-MAN;N-TER-ATM,S19;S20,Johnson and Goldblatt. The Nitrogen Budget of Earth. Earth-Science Reviews 148 | Zhang et Yin 2012 cite dans Johnson et Goldblatt. Azote du noyau par dynamique moleculaire ab initio,
Venus|sans_noyau_publie,N,,,,1.1e+19,,,kg de l element,,aucune estimation de masse totale publiee,aucun,,N-VEN-ATM,S19,Johnson and Goldblatt. The Nitrogen Budget of Earth. Earth-Science Reviews 148,
Terre|S-TER-NOY,S,3.524e+22,3.478e+22,1.011e+21,,,0.016,kg de l element,,"estimation de masse totale publiee, independante de la somme des compartiments",infere_geochimique,fourchette publiee 1.8 a 1.9 wt%,S-TER-NOY;S-TER-BSE,S24,Earth composition origin evolution and energy budget - reprend McDonough 2014 pour le soufre,3.524e+22
