test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
S1-001,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,2.1199986804276705e-05
S1-002,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,3.0999653972685337e-06
S1-003,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,1.500011421740055e-06
S1-004,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,9.00006853044033e-07
S1-005,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,1.200009137392044e-06
S1-006,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.999486453831196e-07
S1-007,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,9.00006853044033e-07
S1-008,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-009,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,4.900037311017513e-06
S1-010,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.999471224844456e-07
S1-011,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-012,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-013,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-014,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-015,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-016,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-017,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-018,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-019,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-020,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.999471224844456e-07
S1-021,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-022,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-023,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-024,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-025,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-026,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-027,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-028,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-029,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-030,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,5.999463610351086e-07
S1-031,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-032,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-033,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-034,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-035,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-036,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-037,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-038,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-039,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-040,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,5.999463610351086e-07
S1-041,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,9.00006853044033e-07
S1-042,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-043,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-044,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-045,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S1-046,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-047,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S1-048,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S1-049,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.999471224844456e-07
S1-050,S1,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S2-001,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S2-002,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,9.00006853044033e-07
S2-003,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S2-004,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S2-005,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S2-006,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
S2-007,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S2-008,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,8.00006091594696e-07
S2-009,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,5.999463610351086e-07
S2-010,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,6.00004568696022e-07
S2-011,S2,blocked,undetermined,,,,Moteur exclu par le mode données réelles strict: génération ou simulation requise.,7.00005330145359e-07
