event_id,host,symbiont,gene_transfer,metabolic_integration,dependency,evidence_level,genome_retention_proxy,section_retention_json,derived_proxy
GCA_000008885,not_reported_in_source,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,,0.88,,,0.9247311827956989,"{""PMF"": 0.8, ""envelope"": 0.9, ""replication"": 0.6363636363636364, ""transcription"": 0.8, ""translation"": 0.9826086956521739}",True
GCA_000021505,not_reported_in_source,Candidatus Hodgkinia cicadicola Dsem,,0.02,,,0.41397849462365593,"{""PMF"": 0.1, ""envelope"": 0.0, ""replication"": 0.09090909090909091, ""transcription"": 0.4, ""translation"": 0.6173913043478261}",True
GCA_000043285,not_reported_in_source,Candidatus Blochmannia floridanus,,0.96,,,0.967741935483871,"{""PMF"": 0.9, ""envelope"": 0.975, ""replication"": 0.8181818181818182, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCA_000147015,not_reported_in_source,Candidatus Zinderia insecticola CARI,,0.02,,,0.5913978494623656,"{""PMF"": 0.1, ""envelope"": 0.0, ""replication"": 0.36363636363636365, ""transcription"": 0.3, ""translation"": 0.8869565217391304}",True
GCA_000331975,not_reported_in_source,Candidatus Uzinura diaspidicola str. ASNER,,0.0,,,0.6559139784946236,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.2727272727272727, ""transcription"": 0.7, ""translation"": 0.9739130434782609}",True
GCA_000412755,not_reported_in_source,Candidatus Tremblaya phenacola PAVE,,0.0,,,0.543010752688172,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.2727272727272727, ""transcription"": 0.4, ""translation"": 0.8173913043478261}",True
GCA_000699475,not_reported_in_source,Candidatus Hodgkinia cicadicola,,0.02,,,0.43010752688172044,"{""PMF"": 0.1, ""envelope"": 0.0, ""replication"": 0.09090909090909091, ""transcription"": 0.4, ""translation"": 0.6434782608695652}",True
GCA_000953435,not_reported_in_source,Candidatus Evansia muelleri,,0.2,,,0.6881720430107527,"{""PMF"": 0.9, ""envelope"": 0.025, ""replication"": 0.36363636363636365, ""transcription"": 0.4, ""translation"": 0.9565217391304348}",True
GCA_001029715,not_reported_in_source,candidate division TM6 bacterium GW2011_GWF2_28_16,,0.48,,,0.7526881720430108,"{""PMF"": 0.8, ""envelope"": 0.4, ""replication"": 0.5454545454545454, ""transcription"": 0.9, ""translation"": 0.8782608695652174}",True
GCA_002074035,not_reported_in_source,Candidatus Riesia sp. GBBU,,0.58,,,0.8440860215053764,"{""PMF"": 0.0, ""envelope"": 0.725, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.9652173913043478}",True
GCA_002290365,not_reported_in_source,Candidatus Nasuia deltocephalinicola,,0.02,,,0.532258064516129,"{""PMF"": 0.1, ""envelope"": 0.0, ""replication"": 0.2727272727272727, ""transcription"": 0.4, ""translation"": 0.7913043478260869}",True
GCA_003391315,not_reported_in_source,Candidatus Vidania fulgoroideae,,0.0,,,0.45161290322580644,"{""PMF"": 0.0, ""envelope"": 0.0, ""replication"": 0.2727272727272727, ""transcription"": 0.5, ""translation"": 0.6608695652173913}",True
GCA_005697395,not_reported_in_source,TM7 phylum sp. oral taxon 952,,0.42,,,0.7795698924731183,"{""PMF"": 0.6, ""envelope"": 0.375, ""replication"": 0.9090909090909091, ""transcription"": 0.7, ""translation"": 0.9304347826086956}",True
GCA_015134435,not_reported_in_source,Candidatus Stammera capleta,,0.06,,,0.5698924731182796,"{""PMF"": 0.0, ""envelope"": 0.075, ""replication"": 0.36363636363636365, ""transcription"": 0.4, ""translation"": 0.8260869565217391}",True
GCA_015139955,not_reported_in_source,Candidatus Stammera capleta,,0.26,,,0.6236559139784946,"{""PMF"": 0.4, ""envelope"": 0.225, ""replication"": 0.36363636363636365, ""transcription"": 0.5, ""translation"": 0.8173913043478261}",True
GCA_015256915,not_reported_in_source,Candidatus Saccharimonas sp.,,0.24,,,0.7204301075268817,"{""PMF"": 0.0, ""envelope"": 0.3, ""replication"": 0.9090909090909091, ""transcription"": 0.7, ""translation"": 0.9130434782608695}",True
GCA_015257795,not_reported_in_source,Candidatus Nanogingivalaceae bacterium,,0.24,,,0.7258064516129032,"{""PMF"": 0.0, ""envelope"": 0.3, ""replication"": 0.9090909090909091, ""transcription"": 0.7, ""translation"": 0.9217391304347826}",True
GCA_015697925,not_reported_in_source,Candidatus Pinguicoccus supinus,,0.04,,,0.44086021505376344,"{""PMF"": 0.0, ""envelope"": 0.05, ""replication"": 0.09090909090909091, ""transcription"": 0.2, ""translation"": 0.6695652173913044}",True
GCA_016699915,not_reported_in_source,Neisseriales bacterium,,0.9,,,0.9623655913978495,"{""PMF"": 0.9, ""envelope"": 0.9, ""replication"": 1.0, ""transcription"": 0.9, ""translation"": 0.991304347826087}",True
GCA_017134395,not_reported_in_source,Candidatus Kaiserbacteria bacterium,,0.46,,,0.7849462365591398,"{""PMF"": 0.6, ""envelope"": 0.425, ""replication"": 0.8181818181818182, ""transcription"": 0.8, ""translation"": 0.9217391304347826}",True
