accession,species,section,category,hmm,gene,present,status
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,PF13561,fabI,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,TIGR00516,acpS,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,TIGR01749,fabA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,PF00109,fabB,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,TIGR01750,fabZ,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,TIGR00128,fabD,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,fatty_acid_biosynthesis,TIGR00747,fabH,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,PF02666,psd,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,TIGR00530,plsC,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,TIGR00560,pgsA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,PF01148,cdsA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,pgpAB,pgpAB,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,PF01210,gpsA_N,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,phospholipid_biosynthesis,PF13091,pssA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR00904,mreB,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01082,murC,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01085,murE,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,PF00905,ftsI,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR00065,ftsZ,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01087,murD,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR00179,murB,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01133,murG,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR00445,mraY,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01072,murA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR01143,murF,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,PG_CellWall_division,TIGR02210,mrdB,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,PF03938,skp,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,PF04355,bamE,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,TIGR02037,degP,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,TIGR03302,bamD,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,TIGR03303,bamA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,bam_complex,PF09312,surA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00064,ftsY,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00963,secA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00964,secE,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00739,yajC,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,secDF,secDF,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00967,secY,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR03592,yidC_C,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,envelope,sec_translocon,TIGR00810,secG,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,ndh_dehydrogenase,dehydrogenase,dehydrogenase,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,terminal_ox,oxidase,oxidase,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR00962,atpA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01039,atpD,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01131,ATP_synt_6_or_A,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01144,ATP_synt_b,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01145,ATP_synt_delta,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01146,ATPsyn_F1gamma,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01216,ATP_synt_epsi,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,PMF,atp_synthase,TIGR01260,ATP_synt_c,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,PF04364,dnaE,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,TIGR00593,polA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,TIGR01128,holA,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,TIGR02397,dnaX,0,missing
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,TIGR00594,polC,1,holoenzyme
GCA_024818515,Candidatus Nasuia deltocephalinicola,replication,holoenzyme,TIGR00663,dnaN,0,missing
